id,name,type,evidence_tier,primary_domain,description,aliases,wikipedia_url,scandal_notes
1,Luminous Jellyfish Principle,CONCEPT,DOCUMENTED,EDUCATION,"The foundational ethical principle: When exploring dark networks, always surface with light. Every investigation must produce actionable hope.","[""Jellyfish Principle"",""LJP""]",,
2,Peter Thiel,PERSON,CONFIRMED,BUSINESS,"Tech billionaire. PayPal co-founder. Palantir co-founder. Major political donor. Proponent of monopoly economics and contrarian thinking.","[""Thiel""]",https://en.wikipedia.org/wiki/Peter_Thiel,"Funded Hulk Hogan lawsuit that bankrupted Gawker Media. Associated with surveillance state expansion through Palantir."
3,Palantir Technologies,ORGANIZATION,CONFIRMED,GOVERNMENT,"Data analytics company with deep government and intelligence contracts. Named after the seeing stones in Tolkien's Middle-earth.","[""Palantir"",""PLTR""]",https://en.wikipedia.org/wiki/Palantir_Technologies,"ICE contracts for immigration enforcement. Predictive policing concerns. NSA data integration."
4,Rentism,CONCEPT,DOCUMENTED,BUSINESS,"Post-capitalist scenario where elites control AI/infrastructure and extract perpetual rents through IP regimes. Wealth without work for owners.","[""Techno-Feudalism"",""Platform Capitalism""]",,
5,BlackRock,ORGANIZATION,CONFIRMED,BUSINESS,"World's largest asset manager with $10T+ AUM. Major shareholder in nearly every public company. Enormous voting power in corporate governance.","[""BLK""]",https://en.wikipedia.org/wiki/BlackRock,"Criticized for ESG voting positions. Accused of conflicts of interest in government advisory roles."
6,Larry Fink,PERSON,CONFIRMED,BUSINESS,"CEO of BlackRock since founding. Influential voice on ESG investing and stakeholder capitalism. Annual letters widely read by CEOs.","[""Fink""]",https://en.wikipedia.org/wiki/Larry_Fink,
7,World Economic Forum,ORGANIZATION,CONFIRMED,GOVERNMENT,"International organization hosting annual Davos summit. Promotes stakeholder capitalism and public-private partnerships.","[""WEF"",""Davos""]",https://en.wikipedia.org/wiki/World_Economic_Forum,"Subject of conspiracy theories. Criticized for elite capture and influence over democratic processes."
8,Klaus Schwab,PERSON,CONFIRMED,EDUCATION,"Founder and executive chairman of the World Economic Forum. Authored 'The Great Reset' and 'The Fourth Industrial Revolution'.","[""Schwab""]",https://en.wikipedia.org/wiki/Klaus_Schwab,
9,Effective Altruism,CONCEPT,DOCUMENTED,EDUCATION,"Philosophical movement using evidence and reason to maximize positive impact. Associated with longtermism and AI safety funding.","[""EA"",""Effective Altruists""]",https://en.wikipedia.org/wiki/Effective_altruism,"Criticized after FTX collapse. Sam Bankman-Fried was major funder. Questions about elite capture of ethics."
10,Democratic Republic of Congo,LOCATION,CONFIRMED,BUSINESS,"Central African nation rich in cobalt and coltan essential for electronics. 25.4M facing food insecurity.","[""DRC"",""Congo""]",https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,"Ongoing conflict over mineral resources. Child labor in artisanal mining. Supply chain for tech industry."
11,Cobalt Supply Chain,CONCEPT,CONFIRMED,BUSINESS,"The extraction-to-battery pipeline for cobalt used in lithium-ion batteries. Connects DRC mining to Tesla/Apple/Samsung products.","[""Cobalt Mining""]",,
12,Seven Mountains Framework,CONCEPT,SPECULATIVE,RELIGION,"Dominionist theology claiming Christians should control seven spheres: Religion Family Education Government Media Arts Business.","[""Seven Mountains Mandate"",""Dominionism""]",https://en.wikipedia.org/wiki/Seven_Mountain_Mandate,"Associated with NAR (New Apostolic Reformation). Criticized as theocratic ideology."
13,Council on Foreign Relations,ORGANIZATION,CONFIRMED,GOVERNMENT,"Influential think tank on US foreign policy since 1921. Publishes Foreign Affairs. Members include former presidents and secretaries of state.","[""CFR""]",https://en.wikipedia.org/wiki/Council_on_Foreign_Relations,
14,OpenAI,ORGANIZATION,CONFIRMED,BUSINESS,"AI research company. Created ChatGPT. Originally nonprofit now capped-profit. Key player in AI acceleration debate.","[""Open AI""]",https://en.wikipedia.org/wiki/OpenAI,"Criticized for departing from open-source mission. Safety team departures. Microsoft partnership concerns."
15,Sam Altman,PERSON,CONFIRMED,BUSINESS,"CEO of OpenAI. Former president of Y Combinator. Key figure in AI acceleration and safety debates.","[""Altman""]",https://en.wikipedia.org/wiki/Sam_Altman,"Brief firing and reinstatement in November 2023. Questions about governance and transparency."
16,Thiel Fellowship,ORGANIZATION,CONFIRMED,EDUCATION,"Program paying students $100K to drop out of college and pursue entrepreneurship. Anti-credentialism in action.","[""20 Under 20""]",https://en.wikipedia.org/wiki/Thiel_Fellowship,
17,Gawker Media,ORGANIZATION,CONFIRMED,MEDIA,"Digital media company bankrupted by Thiel-funded Hulk Hogan lawsuit in 2016. Case study in billionaire media control.","[""Gawker""]",https://en.wikipedia.org/wiki/Gawker,"Published stories Thiel found objectionable. Thiel secretly funded multiple lawsuits against them."
18,Little St. James,LOCATION,CONFIRMED,BUSINESS,"Private island owned by Jeffrey Epstein. Site of documented trafficking and abuse. Visited by numerous high-profile figures.","[""Epstein Island"",""Pedophile Island""]",https://en.wikipedia.org/wiki/Little_Saint_James%2C_U.S._Virgin_Islands,"FBI raid in 2019. Flight logs show visitors. Temple structure demolished."
19,Jeffrey Epstein,PERSON,CONFIRMED,BUSINESS,"Convicted sex trafficker. Financier with unclear wealth sources. Maintained extensive elite network before 2019 death in custody.","[""Epstein""]",https://en.wikipedia.org/wiki/Jeffrey_Epstein,"2008 conviction. 2019 arrest. Death ruled suicide but disputed. Flight logs and black book released."
20,Ghislaine Maxwell,PERSON,CONFIRMED,MEDIA,"Convicted sex trafficker. Daughter of Robert Maxwell. Epstein's associate and recruiter.","[""Maxwell""]",https://en.wikipedia.org/wiki/Ghislaine_Maxwell,"Convicted 2021 on five federal charges including sex trafficking. Currently serving 20-year sentence."
21,Leon Black,PERSON,CONFIRMED,BUSINESS,"Billionaire private equity executive. Founder of Apollo Global Management. Paid $158M to Jeffrey Epstein for advice.","[""Black""]",https://en.wikipedia.org/wiki/Leon_Black,"Stepped down as Apollo CEO after Epstein payments revealed. Claims payments were for tax advice."
22,JP Morgan Chase,ORGANIZATION,CONFIRMED,BUSINESS,"Largest US bank. Maintained Epstein accounts until 2013 despite red flags. Settled trafficking lawsuit for $290M.","[""JPM"",""JPMorgan""]",https://en.wikipedia.org/wiki/JPMorgan_Chase,"2023 settlement with US Virgin Islands. Internal emails showed awareness of Epstein's activities."
23,Les Wexner,PERSON,CONFIRMED,BUSINESS,"Billionaire retailer. Former owner of Victoria's Secret. Gave Epstein power of attorney and his NYC mansion.","[""Wexner""]",https://en.wikipedia.org/wiki/Les_Wexner,"Only known client of Epstein's money management. Claimed to sever ties in 2007. Transferred significant assets."
24,MIT Media Lab,ORGANIZATION,CONFIRMED,EDUCATION,"MIT research lab that accepted Epstein donations after his conviction. Director resigned when exposed.","[""Media Lab""]",https://en.wikipedia.org/wiki/MIT_Media_Lab,"Joi Ito resigned as director. Deliberately hid Epstein's name from records. Internal protests."
25,Enclave Society,CONCEPT,SPECULATIVE,GOVERNMENT,"Theoretical social structure where elites physically and digitally separate from masses. Bunkers AI security and private services.","[""Enclave"",""Bunker Society""]",,
26,Civilizational Immunity,CONCEPT,SPECULATIVE,GOVERNMENT,"Rhetorical strategy where tech elites claim exemption from regulation by framing themselves as civilization's saviors.","[""Tech Exceptionalism""]",,
