id,name,type,evidence_tier,primary_domain,summary,scandal_notes,source_urls
1,Luminous Jellyfish Principle,CONCEPT,CONFIRMED,ARTS,"The proof that beauty is possible in the abyss. The guiding philosophy of Apex Intelligence.","Foundational axiom: Even in darkness, light persists. This is not scandal but salvation.","[]"
2,Jeffrey Epstein,PERSON,CONFIRMED,BUSINESS,"Financier and convicted sex offender. Central node of the network.","Federal indictment for sex trafficking of minors (2019). Previous conviction (2008) with controversial NPA.","[""https://www.justice.gov/usao-sdny/pr/jeffrey-epstein-charged-manhattan-federal-court-sex-trafficking-minors""]"
3,Ghislaine Maxwell,PERSON,CONFIRMED,BUSINESS,"Convicted sex trafficker. Primary associate and facilitator.","Convicted December 2021 on five federal counts including sex trafficking of a minor.","[""https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-sentenced-20-years-prison-sex-trafficking-minor""]"
4,Donald Trump,PERSON,DOCUMENTED,GOVERNMENT,"45th President of the United States. Documented social associate (1987-2004).","Social association with Epstein documented 1987-2004. No criminal charges related to network.","[""https://nymag.com/nymetro/news/people/n_7912/""]"
5,Bill Clinton,PERSON,DOCUMENTED,GOVERNMENT,"42nd President of the United States. Documented associate and flight passenger.","Flight logs show multiple trips on Epstein aircraft. No criminal charges related to network.","[""https://www.documentcloud.org/documents/1507315-epstein-flight-manifests.html""]"
6,Prince Andrew,PERSON,DOCUMENTED,FAMILY,"Duke of York. Stripped of HRH titles due to Epstein association.","Civil settlement with Virginia Giuffre (2022). Stripped of military titles and royal patronages.","[""https://www.bbc.com/news/uk-60387543""]"
7,Alexander Acosta,PERSON,CONFIRMED,GOVERNMENT,"Former US Attorney (S.D. Florida) and Labor Secretary. Arranged the 2008 NPA.","DOJ OPR found 'poor judgment' in 2008 plea deal. Resigned as Labor Secretary July 2019.","[""https://www.justice.gov/opr/news/department-justice-releases-report-conduct-office-professional-responsibility""]"
8,2008 Non-Prosecution Agreement,EVENT,CONFIRMED,GOVERNMENT,"The controversial immunity deal granting protection to unnamed co-conspirators.","Granted blanket immunity to 'potential co-conspirators' without notifying victims per CVRA.","[""https://www.courthousenews.com/wp-content/uploads/2019/07/epstein-npa.pdf""]"
9,JPMorgan Chase,ORGANIZATION,CONFIRMED,BUSINESS,"Global financial institution. Paid $290M settlement regarding Epstein banking relationship.","Settlement acknowledged maintaining accounts despite red flags. Internal warnings ignored.","[""https://www.reuters.com/business/finance/jpmorgan-reaches-290-mln-settlement-with-epstein-victims-2023-06-12/""]"
10,Deutsche Bank,ORGANIZATION,CONFIRMED,BUSINESS,"German multinational bank. Paid $75M settlement regarding Epstein accounts.","DFS found 'critical compliance failures' in accepting Epstein as client post-2008 conviction.","[""https://www.dfs.ny.gov/reports_and_publications/press_releases/pr202007071""]"
11,Victims (Collective),ORGANIZATION,CONFIRMED,FAMILY,"The survivors and victims of the trafficking ring.","Central to all proceedings. Their testimonies are the foundation of documented evidence.","[""https://www.courtlistener.com/docket/4355835/giuffre-v-maxwell/""]"
